,Origin,Dest,Origin_lat,Origin_long,Dest_lat,Dest_long,Distance
79,ALB,CVG,42.748267,-73.801692,39.048836,-84.667822,1000.9598536
80,ALB,DCA,42.748267,-73.801692,38.852083,-77.037722,511.812947882
81,ALB,DTW,42.748267,-73.801692,42.212444,-83.353389,785.394498431
82,ALB,EWR,42.748267,-73.801692,40.6925,-74.168667,230.68267387
83,ALB,JFK,42.748267,-73.801692,40.639751,-73.778925,234.537503034
84,ALB,LAS,42.748267,-73.801692,36.080056,-115.15225,3592.66693493
85,ALB,LGA,42.748267,-73.801692,40.777245,-73.872608,219.315359182
86,ALB,MCO,42.748267,-73.801692,28.429394,-81.308994,1729.57831966
87,ALB,MDW,42.748267,-73.801692,41.785972,-87.752417,1151.96145941
88,ALB,MSP,42.748267,-73.801692,44.881956,-93.221767,1572.7490301
89,ALB,ORD,42.748267,-73.801692,41.978603,-87.904842,1160.88100778
90,ALB,PHL,42.748267,-73.801692,39.871944,-75.241139,341.775574197
91,ALB,TPA,42.748267,-73.801692,27.975472,-82.53325,1821.58612529
92,ALO,MSP,42.5571,-92.4003,44.881956,-93.221767,266.887898988
93,AMA,ABQ,35.219369,-101.705931,35.0402222,-106.6091944,446.446226911
94,AMA,DAL,35.219369,-101.705931,32.847111,-96.851778,519.351764995
95,AMA,DEN,35.219369,-101.705931,39.861656,-104.673178,578.797437787
96,AMA,DFW,35.219369,-101.705931,32.896828,-97.037997,501.673923402
97,AMA,IAH,35.219369,-101.705931,29.984433,-95.341442,833.102200346
98,AMA,LAS,35.219369,-101.705931,36.080056,-115.15225,1218.131518
99,ANC,ADK,61.174361,-149.996361,51.878,-176.646,1913.85581301
100,ANC,ADQ,61.174361,-149.996361,57.749967,-152.493856,406.133948499
101,ANC,AKN,61.174361,-149.996361,58.676778,-156.649278,462.991802831
102,ANC,ATL,61.174361,-149.996361,33.636719,-84.428067,5490.18060319
103,ANC,BET,61.174361,-149.996361,60.779778,-161.838,639.648655729
104,ANC,CDV,61.174361,-149.996361,60.491778,-145.477556,256.393014478
105,ANC,CVG,61.174361,-149.996361,39.048836,-84.667822,4995.31696217
106,ANC,DEN,61.174361,-149.996361,39.861656,-104.673178,3864.27600094
107,ANC,DFW,61.174361,-149.996361,32.896828,-97.037997,4890.81279137
108,ANC,DLG,61.174361,-149.996361,59.044667,-158.5055,527.275692786
109,ANC,DTW,61.174361,-149.996361,42.212444,-83.353389,4793.58726051
110,ANC,FAI,61.174361,-149.996361,64.815114,-147.856267,419.077038974
111,ANC,HNL,61.174361,-149.996361,21.318681,-157.922428,4475.64153657
112,ANC,IAH,61.174361,-149.996361,29.984433,-95.341442,5250.14619661
113,ANC,JNU,61.174361,-149.996361,58.354972,-134.576278,916.216385327
114,ANC,KOA,61.174361,-149.996361,19.738767,-156.045631,4633.15727437
115,ANC,LAS,61.174361,-149.996361,36.080056,-115.15225,3704.65099254
116,ANC,LAX,61.174361,-149.996361,33.942536,-118.408075,3771.99859098
117,ANC,MSP,61.174361,-149.996361,44.881956,-93.221767,4043.29251435
118,ANC,OGG,61.174361,-149.996361,20.89865,-156.430458,4507.75692602
119,ANC,OME,61.174361,-149.996361,64.512203,-165.445247,864.803597104
120,ANC,ORD,61.174361,-149.996361,41.978603,-87.904842,4569.82823569
121,ANC,OTZ,61.174361,-149.996361,66.884678,-162.59855,880.193628745
122,ANC,PDX,61.174361,-149.996361,45.588722,-122.5975,2477.54540581
123,ANC,PHX,61.174361,-149.996361,33.434278,-112.011583,4102.75160087
124,ANC,SCC,61.174361,-149.996361,70.19475,-148.465167,1005.7046866
125,ANC,SEA,61.174361,-149.996361,47.449,-122.309306,2326.37092513
126,ANC,SFO,61.174361,-149.996361,37.618972,-122.374889,3244.94825536
127,ANC,SLC,61.174361,-149.996361,40.788389,-111.977772,3414.05279937
128,APF,ATL,26.152619,-81.775294,33.636719,-84.428067,870.764247815
129,ASE,DEN,39.2232,-106.869,39.861656,-104.673178,201.283309249
130,ASE,LAX,39.2232,-106.869,33.942536,-118.408075,1184.87885422
131,ASE,ORD,39.2232,-106.869,41.978603,-87.904842,1627.08625988
132,ASE,PHX,39.2232,-106.869,33.434278,-112.011583,791.483844405
133,ASE,SFO,39.2232,-106.869,37.618972,-122.374889,1361.27434518
134,ASE,SLC,39.2232,-106.869,40.788389,-111.977772,468.697538186
135,ATL,ABE,33.636719,-84.428067,40.652083,-75.440806,1114.09649379
136,ATL,ABQ,33.636719,-84.428067,35.0402222,-106.6091944,2038.99339284
137,ATL,ABY,33.636719,-84.428067,31.5355,-84.1945,234.740850542
138,ATL,ACY,33.636719,-84.428067,39.457583,-74.577167,1091.60918106
139,ATL,AEX,33.636719,-84.428067,31.3274,-92.549833,803.900352699
140,ATL,AGS,33.636719,-84.428067,33.369944,-81.9645,230.407298463
141,ATL,ALB,33.636719,-84.428067,42.748267,-73.801692,1372.5667275
142,ATL,ANC,33.636719,-84.428067,61.174361,-149.996361,5490.18060319
143,ATL,APF,33.636719,-84.428067,26.152619,-81.775294,870.764247815
144,ATL,ATW,33.636719,-84.428067,44.257526,-88.507576,1232.49810859
145,ATL,AUS,33.636719,-84.428067,30.194528,-97.669889,1306.40283189
146,ATL,AVL,33.636719,-84.428067,35.436194,-82.541806,264.436361358
147,ATL,AVP,33.636719,-84.428067,41.338478,-75.723403,1149.44694127
148,ATL,AZO,33.636719,-84.428067,42.234875,-85.552058,961.414317029
149,ATL,BDL,33.636719,-84.428067,41.938889,-72.683222,1382.74725221
150,ATL,BGM,33.636719,-84.428067,42.208689,-75.979839,1206.35493504
151,ATL,BGR,33.636719,-84.428067,44.807444,-68.828139,1824.59705107
152,ATL,BHM,33.636719,-84.428067,33.562942,-86.75355,215.5980694
153,ATL,BMI,33.636719,-84.428067,40.477111,-88.915917,858.519859442
154,ATL,BNA,33.636719,-84.428067,36.124472,-86.678194,344.538523775
155,ATL,BOI,33.636719,-84.428067,43.564361,-116.222861,2953.80724531
156,ATL,BOS,33.636719,-84.428067,42.364347,-71.005181,1522.0322006
157,ATL,BQK,33.636719,-84.428067,31.2588,-81.4665,383.673043488
158,ATL,BQN,33.636719,-84.428067,18.494861,-67.129444,2406.1648901
159,ATL,BTR,33.636719,-84.428067,30.533167,-91.149639,721.164577527
160,ATL,BTV,33.636719,-84.428067,44.471861,-73.153278,1546.36782954
161,ATL,BUF,33.636719,-84.428067,42.940525,-78.732167,1147.42339215
162,ATL,BWI,33.636719,-84.428067,39.175361,-76.668333,927.813059228
163,ATL,BZN,33.636719,-84.428067,45.777643,-111.160151,2637.59664037
164,ATL,CAE,33.636719,-84.428067,33.938833,-81.119528,307.679416802
165,ATL,CAK,33.636719,-84.428067,40.9160833,-81.4421944,851.565148635
166,ATL,CHA,33.636719,-84.428067,35.035278,-85.203808,171.100193603
167,ATL,CHO,33.636719,-84.428067,38.138639,-78.452861,734.988283688
168,ATL,CHS,33.636719,-84.428067,32.898647,-80.040528,416.186951235
169,ATL,CID,33.636719,-84.428067,41.884694,-91.710806,1117.85293718
