,Origin,Dest,Distance
191,ATL,EWR,1199.69132223
192,ATL,EYW,1042.67093745
193,ATL,FAY,531.394315918
194,ATL,FCA,2960.52682221
195,ATL,FLL,936.735350325
196,ATL,FLO,438.469062411
197,ATL,FNT,1039.33791676
198,ATL,FSD,1535.9357071
199,ATL,FSM,930.233125307
200,ATL,FWA,819.426400614
201,ATL,GNV,484.09365408
202,ATL,GPT,566.158492179
203,ATL,GRB,1247.92106943
204,ATL,GRK,1290.1977695
205,ATL,GRR,1032.629697
206,ATL,GSO,492.753994873
207,ATL,GSP,246.657569508
208,ATL,GTR,386.493749894
209,ATL,HDN,2153.75254601
210,ATL,HHH,377.807959848
211,ATL,HNL,7236.13686241
212,ATL,HOU,1118.53361139
213,ATL,HPN,1255.83650396
214,ATL,HSV,243.037764643
215,ATL,HTS,552.333189158
216,ATL,IAD,859.299011435
217,ATL,IAH,1107.91607454
218,ATL,ICT,1256.072853
219,ATL,ILG,1034.06499337
220,ATL,ILM,606.074845651
221,ATL,IND,696.485455675
222,ATL,ISO,652.847298959
223,ATL,ISP,1279.08249162
224,ATL,JAC,2526.39434383
225,ATL,JAN,547.163188491
226,ATL,JAX,434.587927807
227,ATL,JFK,1222.46835494
228,ATL,LAN,1016.95574525
229,ATL,LAS,2805.73363783
230,ATL,LAX,3126.76698871
231,ATL,LEX,489.64919364
232,ATL,LFT,809.010965284
233,ATL,LGA,1225.25066902
234,ATL,LIT,727.392684146
235,ATL,LWB,593.79048618
236,ATL,LYH,626.422985849
237,ATL,MCI,1113.72709226
238,ATL,MCN,127.59685608
239,ATL,MCO,650.941739624
240,ATL,MDT,997.442168354
241,ATL,MDW,952.255796126
242,ATL,MEI,428.65712184
243,ATL,MEM,532.959701608
244,ATL,MFE,1566.74516486
245,ATL,MGM,236.086410314
246,ATL,MHT,1531.54388586
247,ATL,MIA,959.36294123
248,ATL,MKE,1078.69252061
249,ATL,MLB,713.513833886
250,ATL,MLI,1020.36486294
251,ATL,MLU,720.062437355
252,ATL,MOB,486.089657238
253,ATL,MSN,1139.85445483
254,ATL,MSP,1460.17041028
255,ATL,MSY,683.792960043
256,ATL,MTH,1043.75876325
257,ATL,MTJ,2171.59575321
258,ATL,MYR,509.144703603
259,ATL,OAJ,640.532047431
260,ATL,OAK,3421.43335999
261,ATL,OGG,7121.94496588
262,ATL,OKC,1222.03408987
263,ATL,OMA,1321.45877523
264,ATL,ONT,3051.30604944
265,ATL,ORD,976.634694801
266,ATL,ORF,829.962529959
267,ATL,PBI,878.278439398
268,ATL,PDX,3490.2199638
269,ATL,PFN,398.903091942
270,ATL,PHF,817.473423633
271,ATL,PHL,1071.92579087
272,ATL,PHX,2549.84624159
273,ATL,PIA,909.997206964
274,ATL,PIT,848.23915376
275,ATL,PNS,437.477289985
276,ATL,PSE,2486.44571527
277,ATL,PSP,2955.22223917
278,ATL,PVD,1453.87488216
279,ATL,PWM,1652.26001653
280,ATL,RDU,572.428146214
281,ATL,RIC,773.419638394
282,ATL,RNO,3202.31011379
283,ATL,ROA,575.17554025
284,ATL,ROC,1207.04348769
285,ATL,RSW,830.528646904
286,ATL,SAN,3038.60981371
287,ATL,SAT,1405.14102349
288,ATL,SAV,344.905413585
289,ATL,SBN,913.045983081
290,ATL,SCE,990.783250417
291,ATL,SDF,518.25668243
292,ATL,SEA,3506.10119554
293,ATL,SFO,3435.78906381
294,ATL,SGF,905.260281878
295,ATL,SHV,885.854167654
296,ATL,SJC,3398.71278411
297,ATL,SJU,2491.71948569
298,ATL,SLC,2554.38885451
299,ATL,SMF,3360.78208216
300,ATL,SNA,3082.26557046
301,ATL,SOP,495.315615655
302,ATL,SRQ,717.011219727
303,ATL,STL,779.251765391
