ABE
ABI
ABQ
ABY
ACK
ACT
ACV
ACY
ADK
ADQ
AEX
AGS
AKN
ALB
ALO
AMA
ANC
APF
ASE
ATL
ATW
AUS
AVL
AVP
AZO
BDL
BET
BFF
BFL
BGM
BGR
BHM
BIL
BIS
BJI
BLI
BMI
BNA
BOI
BOS
BPT
BQK
BQN
BRO
BRW
BTM
BTR
BTV
BUF
BUR
BWI
BZN
CAE
CAK
CDC
CDV
CEC
CHA
CHO
CHS
CIC
CID
CLD
CLE
CLL
CLT
CMH
CMI
CMX
COD
COS
CPR
CRP
CRW
CSG
CVG
CWA
CYS
DAB
DAL
DAY
DBQ
DCA
DEN
DFW
DHN
DLG
DLH
DRO
DSM
DTW
EAU
EGE
EKO
ELM
ELP
ERI
EUG
EVV
EWN
EWR
EYW
FAI
FAR
FAT
FAY
FCA
FLG
FLL
FLO
FNT
FSD
FSM
FWA
GEG
GFK
GGG
GJT
GLH
GNV
GPT
GRB
GRK
GRR
GSO
GSP
GST
GTF
GTR
GUC
HDN
HHH
HLN
HNL
HOU
HPN
HRL
HSV
HTS
IAD
IAH
ICT
IDA
ILG
ILM
IND
INL
IPL
ISO
ISP
ITO
IYK
JAC
JAN
JAX
JFK
JNU
KOA
KTN
LAN
LAS
LAW
LAX
LBB
LCH
LEX
LFT
LGA
LGB
LIH
LIT
LNK
LRD
LSE
LWB
LWS
LYH
MAF
MBS
MCI
MCN
MCO
MDT
MDW
MEI
MEM
MFE
MFR
MGM
MHT
MIA
MKC
MKE
MLB
MLI
MLU
MOB
MOD
MOT
MQT
MRY
MSN
MSO
MSP
MSY
MTH
MTJ
MYR
OAJ
OAK
OGD
OGG
OKC
OMA
OME
ONT
ORD
ORF
OTZ
OXR
PBI
PDX
PFN
PHF
PHL
PHX
PIA
PIH
PIR
PIT
PLN
PMD
PNS
PSC
PSE
PSG
PSP
PUB
PVD
PVU
PWM
RAP
RDD
RDM
RDU
RFD
RHI
RIC
RNO
ROA
ROC
ROW
RST
RSW
SAN
SAT
SAV
SBA
SBN
SBP
SCC
SCE
SDF
SEA
SFO
SGF
SGU
SHV
SIT
SJC
SJT
SJU
SLC
SLE
SMF
SMX
SNA
SOP
SPI
SPS
SRQ
STL
STT
STX
SUN
SUX
SWF
SYR
TEX
TLH
TOL
TPA
TRI
TTN
TUL
TUP
TUS
TVC
TWF
TXK
TYR
TYS
VLD
VPS
WRG
WYS
XNA
YAK
YKM
YUM
