STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WDMV
GHCND:USC00112223,DE KALB IL US,20070101,-9999,-9999,13,0,0,111,6,11,-9999
GHCND:USC00112223,DE KALB IL US,20070102,-9999,-9999,0,0,0,50,-50,-50,-9999
GHCND:USC00112223,DE KALB IL US,20070103,-9999,-9999,0,0,0,39,-50,-11,-9999
GHCND:USC00112223,DE KALB IL US,20070104,-9999,-9999,0,0,0,78,-11,17,-9999
GHCND:USC00112223,DE KALB IL US,20070105,-9999,-9999,38,0,0,83,17,78,-9999
GHCND:USC00112223,DE KALB IL US,20070106,-9999,-9999,0,0,0,89,6,6,-9999
GHCND:USC00112223,DE KALB IL US,20070107,-9999,-9999,0,0,0,56,-22,-11,-9999
GHCND:USC00112223,DE KALB IL US,20070108,-9999,-9999,3,0,0,50,-50,-50,-9999
GHCND:USC00112223,DE KALB IL US,20070109,-9999,-9999,0,0,0,28,-50,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070110,-9999,-9999,0,0,0,0,-89,-89,-9999
GHCND:USC00112223,DE KALB IL US,20070111,-9999,-9999,0,0,0,6,-89,0,-9999
GHCND:USC00112223,DE KALB IL US,20070112,-9999,-9999,3,0,0,67,0,44,-9999
GHCND:USC00112223,DE KALB IL US,20070113,-9999,-9999,8,0,0,50,-39,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070114,-9999,-9999,13,25,13,-17,-39,-28,-9999
GHCND:USC00112223,DE KALB IL US,20070115,-9999,-9999,104,25,15,-6,-44,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070116,-9999,-9999,13,25,25,-39,-144,-144,-9999
GHCND:USC00112223,DE KALB IL US,20070117,-9999,-9999,0,25,0,-83,-167,-161,-9999
GHCND:USC00112223,DE KALB IL US,20070118,-9999,-9999,3,25,3,-33,-161,-33,-9999
GHCND:USC00112223,DE KALB IL US,20070119,-9999,-9999,5,25,13,-17,-94,-94,-9999
GHCND:USC00112223,DE KALB IL US,20070120,-9999,-9999,0,25,0,-39,-139,-139,-9999
GHCND:USC00112223,DE KALB IL US,20070121,-9999,-9999,23,51,48,-44,-139,-44,-9999
GHCND:USC00112223,DE KALB IL US,20070122,-9999,-9999,25,51,3,-28,-44,-44,-9999
GHCND:USC00112223,DE KALB IL US,20070123,-9999,-9999,0,51,0,-28,-61,-61,-9999
GHCND:USC00112223,DE KALB IL US,20070124,-9999,-9999,0,51,0,-39,-67,-67,-9999
GHCND:USC00112223,DE KALB IL US,20070125,-9999,-9999,0,51,0,-44,-128,-122,-9999
GHCND:USC00112223,DE KALB IL US,20070126,-9999,-9999,0,51,0,-56,-128,-78,-9999
GHCND:USC00112223,DE KALB IL US,20070127,-9999,-9999,0,51,0,50,-78,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070128,-9999,-9999,3,51,25,-28,-156,-156,-9999
GHCND:USC00112223,DE KALB IL US,20070129,-9999,-9999,0,51,0,-61,-161,-111,-9999
GHCND:USC00112223,DE KALB IL US,20070130,-9999,-9999,5,76,25,-39,-156,-156,-9999
GHCND:USC00112223,DE KALB IL US,20070131,-9999,-9999,0,76,0,-94,-178,-178,-9999
GHCND:USC00112223,DE KALB IL US,20070201,-9999,-9999,0,51,0,-72,-178,-89,-9999
GHCND:USC00112223,DE KALB IL US,20070202,-9999,-9999,0,51,0,-67,-161,-156,-9999
GHCND:USC00112223,DE KALB IL US,20070203,-9999,-9999,0,51,0,-122,-167,-156,-9999
GHCND:USC00112223,DE KALB IL US,20070204,-9999,-9999,0,51,0,-178,-228,-217,-9999
GHCND:USC00112223,DE KALB IL US,20070205,-9999,-9999,0,51,0,-178,-250,-250,-9999
GHCND:USC00112223,DE KALB IL US,20070206,-9999,-9999,0,51,0,-139,-250,-200,-9999
GHCND:USC00112223,DE KALB IL US,20070207,-9999,-9999,46,152,102,-144,-228,-217,-9999
GHCND:USC00112223,DE KALB IL US,20070208,-9999,-9999,0,152,0,-128,-244,-239,-9999
GHCND:USC00112223,DE KALB IL US,20070209,-9999,-9999,0,152,0,-139,-239,-206,-9999
GHCND:USC00112223,DE KALB IL US,20070210,-9999,-9999,0,152,0,-111,-228,-222,-9999
GHCND:USC00112223,DE KALB IL US,20070211,-9999,-9999,0,152,0,-117,-228,-117,-9999
GHCND:USC00112223,DE KALB IL US,20070212,-9999,-9999,25,178,51,-39,-117,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070213,-9999,-9999,15,229,64,-17,-67,-67,-9999
GHCND:USC00112223,DE KALB IL US,20070214,-9999,-9999,10,305,76,-67,-167,-167,-9999
GHCND:USC00112223,DE KALB IL US,20070215,-9999,-9999,0,254,0,-89,-200,-200,-9999
GHCND:USC00112223,DE KALB IL US,20070216,-9999,-9999,0,254,0,-117,-217,-217,-9999
GHCND:USC00112223,DE KALB IL US,20070217,-9999,-9999,23,254,38,-67,-217,-89,-9999
GHCND:USC00112223,DE KALB IL US,20070218,-9999,-9999,0,229,0,-44,-139,-128,-9999
GHCND:USC00112223,DE KALB IL US,20070219,-9999,-9999,0,229,0,-61,-128,-78,-9999
GHCND:USC00112223,DE KALB IL US,20070220,-9999,-9999,0,178,0,50,-78,-22,-9999
GHCND:USC00112223,DE KALB IL US,20070221,-9999,-9999,0,152,0,56,-50,-44,-9999
GHCND:USC00112223,DE KALB IL US,20070222,-9999,-9999,0,102,0,78,-44,-17,-9999
GHCND:USC00112223,DE KALB IL US,20070223,-9999,-9999,0,102,0,22,-50,-44,-9999
GHCND:USC00112223,DE KALB IL US,20070224,-9999,-9999,0,76,0,6,-44,-39,-9999
GHCND:USC00112223,DE KALB IL US,20070225,-9999,-9999,211,127,81,22,-39,22,-9999
GHCND:USC00112223,DE KALB IL US,20070226,-9999,-9999,81,178,46,22,-17,-17,-9999
GHCND:USC00112223,DE KALB IL US,20070227,-9999,-9999,0,178,0,-17,-28,-28,-9999
GHCND:USC00112223,DE KALB IL US,20070228,-9999,-9999,0,178,0,6,-61,-44,-9999
GHCND:USC00112223,DE KALB IL US,20070301,-9999,-9999,102,152,0,11,-44,6,-9999
GHCND:USC00112223,DE KALB IL US,20070302,-9999,-9999,51,152,15,61,-39,-33,-9999
GHCND:USC00112223,DE KALB IL US,20070303,-9999,-9999,89,229,152,-22,-72,-61,-9999
GHCND:USC00112223,DE KALB IL US,20070304,-9999,-9999,0,178,0,-22,-106,-100,-9999
GHCND:USC00112223,DE KALB IL US,20070305,-9999,-9999,0,76,0,-6,-106,-28,-9999
GHCND:USC00112223,DE KALB IL US,20070306,-9999,-9999,0,76,0,0,-106,-100,-9999
GHCND:USC00112223,DE KALB IL US,20070307,-9999,-9999,0,51,0,-44,-100,-56,-9999
GHCND:USC00112223,DE KALB IL US,20070308,-9999,-9999,0,51,0,-17,-89,-83,-9999
GHCND:USC00112223,DE KALB IL US,20070309,-9999,-9999,0,51,0,33,-83,6,-9999
GHCND:USC00112223,DE KALB IL US,20070310,-9999,-9999,81,25,0,94,0,6,-9999
GHCND:USC00112223,DE KALB IL US,20070311,-9999,-9999,0,25,0,89,-17,-11,-9999
GHCND:USC00112223,DE KALB IL US,20070312,-9999,-9999,0,0,0,106,-17,44,-9999
GHCND:USC00112223,DE KALB IL US,20070313,-9999,-9999,0,0,0,161,44,61,-9999
GHCND:USC00112223,DE KALB IL US,20070314,-9999,-9999,0,0,0,222,61,100,-9999
GHCND:USC00112223,DE KALB IL US,20070315,-9999,-9999,5,0,0,161,6,11,-9999
GHCND:USC00112223,DE KALB IL US,20070316,-9999,-9999,0,0,0,39,-56,-50,-9999
GHCND:USC00112223,DE KALB IL US,20070317,-9999,-9999,0,0,0,17,-56,-56,-9999
GHCND:USC00112223,DE KALB IL US,20070318,-9999,-9999,0,0,0,39,-61,-50,-9999
GHCND:USC00112223,DE KALB IL US,20070319,-9999,-9999,23,0,0,72,-50,17,-9999
GHCND:USC00112223,DE KALB IL US,20070320,-9999,-9999,0,0,0,156,-22,-22,-9999
GHCND:USC00112223,DE KALB IL US,20070321,-9999,-9999,135,0,0,83,-22,39,-9999
GHCND:USC00112223,DE KALB IL US,20070322,-9999,-9999,292,0,0,183,39,133,-9999
GHCND:USC00112223,DE KALB IL US,20070323,-9999,-9999,48,0,0,150,100,78,-9999
GHCND:USC00112223,DE KALB IL US,20070324,-9999,-9999,28,0,0,139,72,128,-9999
GHCND:USC00112223,DE KALB IL US,20070325,-9999,-9999,3,0,0,167,128,128,-9999
GHCND:USC00112223,DE KALB IL US,20070326,-9999,-9999,0,0,0,250,128,150,-9999
GHCND:USC00112223,DE KALB IL US,20070327,-9999,-9999,0,0,0,250,144,150,-9999
GHCND:USC00112223,DE KALB IL US,20070328,-9999,-9999,33,0,0,233,78,94,-9999
GHCND:USC00112223,DE KALB IL US,20070329,-9999,-9999,5,0,0,106,78,78,-9999
GHCND:USC00112223,DE KALB IL US,20070330,-9999,-9999,3,0,0,156,72,89,-9999
GHCND:USC00112223,DE KALB IL US,20070331,-9999,-9999,5,0,0,128,78,94,-9999
GHCND:USC00112223,DE KALB IL US,20070401,-9999,-9999,119,0,0,172,83,83,109
GHCND:USC00112223,DE KALB IL US,20070402,-9999,-9999,20,0,0,144,28,33,166
GHCND:USC00112223,DE KALB IL US,20070403,-9999,-9999,3,0,0,144,33,89,93
GHCND:USC00112223,DE KALB IL US,20070404,-9999,-9999,38,0,0,200,-28,-28,169
GHCND:USC00112223,DE KALB IL US,20070405,-9999,-9999,0,0,0,0,-44,-39,148
GHCND:USC00112223,DE KALB IL US,20070406,-9999,-9999,0,0,0,39,-67,-61,80
GHCND:USC00112223,DE KALB IL US,20070407,-9999,-9999,0,0,0,17,-72,-67,93
GHCND:USC00112223,DE KALB IL US,20070408,-9999,-9999,0,0,0,0,-72,-22,82
GHCND:USC00112223,DE KALB IL US,20070409,-9999,-9999,0,0,0,39,-28,0,35
GHCND:USC00112223,DE KALB IL US,20070410,-9999,-9999,0,0,0,61,-17,-17,48
GHCND:USC00112223,DE KALB IL US,20070411,-9999,-9999,84,25,25,106,-17,0,146
GHCND:USC00112223,DE KALB IL US,20070412,-9999,-9999,71,0,25,11,-6,-6,179
GHCND:USC00112223,DE KALB IL US,20070413,-9999,-9999,8,0,0,39,-17,-11,80
GHCND:USC00112223,DE KALB IL US,20070414,-9999,-9999,0,0,0,106,-11,44,27
GHCND:USC00112223,DE KALB IL US,20070415,-9999,-9999,0,0,0,94,0,6,55
GHCND:USC00112223,DE KALB IL US,20070416,-9999,-9999,0,0,0,139,0,11,45
GHCND:USC00112223,DE KALB IL US,20070417,-9999,-9999,0,0,0,178,11,78,29
GHCND:USC00112223,DE KALB IL US,20070418,-9999,-9999,0,0,0,222,22,33,127
GHCND:USC00112223,DE KALB IL US,20070419,-9999,-9999,0,0,0,100,33,50,146
GHCND:USC00112223,DE KALB IL US,20070420,-9999,-9999,0,0,0,156,33,50,68
GHCND:USC00112223,DE KALB IL US,20070421,-9999,-9999,0,0,0,206,50,83,51
GHCND:USC00112223,DE KALB IL US,20070422,-9999,-9999,0,0,0,194,83,117,72
GHCND:USC00112223,DE KALB IL US,20070423,-9999,-9999,0,0,0,278,117,178,164
GHCND:USC00112223,DE KALB IL US,20070424,-9999,-9999,0,0,0,206,83,83,71
GHCND:USC00112223,DE KALB IL US,20070425,-9999,-9999,335,0,0,206,83,89,172
GHCND:USC00112223,DE KALB IL US,20070426,-9999,-9999,102,0,0,100,67,72,203
GHCND:USC00112223,DE KALB IL US,20070427,-9999,-9999,71,0,0,122,56,61,82
GHCND:USC00112223,DE KALB IL US,20070428,-9999,-9999,0,0,0,150,61,83,48
GHCND:USC00112223,DE KALB IL US,20070429,-9999,-9999,0,0,0,217,83,106,71
GHCND:USC00112223,DE KALB IL US,20070430,-9999,-9999,43,0,0,289,106,122,122
GHCND:USC00112223,DE KALB IL US,20070501,-9999,-9999,0,0,0,233,100,117,-9999
GHCND:USC00112223,DE KALB IL US,20070502,-9999,-9999,0,0,0,272,94,100,-9999
GHCND:USC00112223,DE KALB IL US,20070503,-9999,-9999,0,0,0,172,78,100,-9999
GHCND:USC00112223,DE KALB IL US,20070504,-9999,-9999,0,0,0,200,100,111,-9999
GHCND:USC00112223,DE KALB IL US,20070505,-9999,-9999,5,0,0,189,111,139,-9999
GHCND:USC00112223,DE KALB IL US,20070506,-9999,-9999,0,0,0,206,94,111,-9999
GHCND:USC00112223,DE KALB IL US,20070507,-9999,-9999,0,0,0,194,94,106,-9999
GHCND:USC00112223,DE KALB IL US,20070508,-9999,-9999,0,0,0,289,106,172,-9999
GHCND:USC00112223,DE KALB IL US,20070509,-9999,-9999,0,0,0,283,172,178,-9999
