STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070427,-9999,61,0,0,189,67,14,260,260,103,143,1333
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070428,-9999,0,0,0,261,94,26,270,270,72,98,1438
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070429,-9999,0,0,0,306,94,35,210,210,81,116,1524
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070430,-9999,0,0,0,289,183,45,190,180,94,116,1526
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070501,-9999,0,0,0,244,194,17,190,200,45,63,652
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070502,-9999,221,0,0,200,133,34,60,70,67,81,1558
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070503,-9999,132,0,0,206,161,38,130,130,72,107,1704
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070504,-9999,0,0,0,261,167,34,130,140,72,103,1440
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070505,-9999,0,0,0,294,206,45,140,130,98,143,2359
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070506,-9999,686,0,0,256,167,51,140,140,107,157,126
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070507,-9999,422,0,0,233,172,26,90,90,89,112,859
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070508,-9999,0,0,0,261,156,12,360,350,54,67,1342
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070509,-9999,0,0,0,250,144,11,170,180,54,63,1100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070510,-9999,0,0,0,294,172,16,190,130,54,67,2153
