STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070917,79,172,72,37,230,210,103,170,1027
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070918,3,239,50,24,130,130,58,63,2330
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070919,0,278,67,31,210,200,94,116,1638
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070920,0,272,100,34,200,330,98,130,2102
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070921,0,283,100,28,150,130,63,72,2352
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070922,0,289,89,30,200,200,139,192,1811
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070923,74,172,89,32,260,270,107,157,1028
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070924,10,183,50,37,270,260,103,148,914
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070925,0,183,6,23,300,360,45,72,1516
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070926,0,206,22,31,140,160,58,72,2153
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070927,0,228,22,25,130,140,54,63,2301
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070928,0,233,67,28,150,200,94,125,2052
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070929,5,233,44,76,170,200,170,241,1053
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070930,0,178,-21,17,180,200,54,116,130
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071002,15,239,11,20,320,330,81,134,323
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071003,0,244,28,30,190,190,67,89,1934
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071004,0,228,67,37,220,220,89,116,1557
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071005,13,256,100,43,220,220,103,157,2350
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071006,8,200,-5,48,350,350,134,197,1033
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071007,0,122,-27,31,340,330,116,134,59
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071008,0,178,-21,21,330,330,81,134,2136
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071009,0,233,6,26,140,130,63,67,2238
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071010,0,272,56,33,260,230,76,103,1612
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071011,0,261,44,25,150,160,67,72,141
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071012,0,222,44,26,140,340,54,63,2127
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071013,0,178,50,36,30,30,94,125,1409
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071014,10,117,22,26,80,80,107,134,1550
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071015,0,172,-5,17,140,40,58,72,1819
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071016,0,200,11,30,240,240,103,130,1533
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071017,41,100,-5,30,310,310,112,143,1149
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071018,0,111,-32,17,360,340,45,63,1456
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071019,0,206,-27,22,150,150,58,63,2357
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071020,5,228,6,61,320,220,170,228,1220
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071021,23,72,-38,53,310,300,112,148,1344
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071022,0,100,-55,30,140,150,63,76,627
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071023,0,156,-38,22,310,330,116,130,248
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071024,0,194,-21,23,150,350,40,58,1532
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071025,0,211,-10,27,150,150,58,67,2341
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071026,0,217,-5,27,140,210,63,125,302
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071027,0,194,0,26,140,140,54,58,2040
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071028,0,217,6,27,130,140,63,72,2144
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071029,0,183,0,20,150,320,58,125,1937
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071030,0,211,39,26,240,220,112,161,1442
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071031,0,172,17,24,320,360,54,67,1319
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071101,0,178,-5,29,310,320,54,67,1649
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20071102,0,167,-16,31,320,20,58,76,1239
