STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070616,150,328,217,26,90,100,76,94,2055
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070617,444,300,228,25,200,200,89,98,1209
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070618,0,317,228,18,60,70,67,72,1438
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070619,0,339,228,22,140,150,89,98,1952
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070620,0,317,222,25,230,240,67,81,1610
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070621,0,317,239,36,230,220,89,103,1450
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070622,0,328,233,28,230,230,76,94,1510
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070623,0,322,211,28,230,220,76,89,1613
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070624,0,339,228,21,240,240,63,76,1427
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070625,0,367,228,28,90,90,103,116,1742
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070626,0,350,250,-9999,90,100,103,125,1540
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070627,8,339,233,36,80,80,112,143,1321
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070628,0,333,228,43,70,70,94,116,1615
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070629,582,344,233,20,60,60,94,107,1616
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070630,3,339,233,22,240,240,81,103,1548
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070701,0,333,244,18,360,10,103,125,1547
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070702,0,333,233,19,70,60,98,107,1733
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070703,104,339,228,12,240,250,103,116,1345
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070704,124,306,233,17,280,280,81,112,1033
