Origin,Dest,IsDelayed
ATL,TOL,290
ATL,TPA,2232
ATL,TRI,472
ATL,TTN,44
ATL,TUL,856
ATL,TUP,224
ATL,TUS,244
ATL,TVC,2
ATL,TYS,778
ATL,VLD,479
ATL,VPS,1277
ATL,XNA,772
ATW,ATL,282
ATW,CVG,246
ATW,DTW,206
ATW,MKE,0
ATW,MSP,130
ATW,ORD,780
AUS,ABQ,62
AUS,ATL,540
AUS,BHM,0
AUS,BNA,133
AUS,BOS,103
AUS,BTR,0
AUS,BWI,166
AUS,CID,0
AUS,CLE,104
AUS,COS,0
AUS,CRP,65
AUS,CVG,249
AUS,DAL,1406
AUS,DEN,550
AUS,DFW,1281
AUS,DTW,72
AUS,ELP,331
AUS,EWR,408
AUS,GJT,0
AUS,GPT,1
AUS,HOU,687
AUS,HRL,88
AUS,IAD,222
AUS,IAH,801
AUS,IND,0
AUS,JAX,79
AUS,JFK,362
AUS,LAS,254
AUS,LAX,328
AUS,LBB,158
AUS,MAF,106
AUS,MCI,140
AUS,MCN,0
AUS,MCO,49
AUS,MDW,115
AUS,MEM,201
AUS,MSP,248
AUS,MSY,70
AUS,OKC,66
AUS,ONT,90
AUS,ORD,828
AUS,PHX,563
AUS,PIA,0
AUS,PWM,0
AUS,RDU,125
AUS,RFD,0
AUS,SAN,122
AUS,SAT,0
AUS,SEA,61
AUS,SFO,54
AUS,SJC,261
AUS,SLC,165
AUS,SNA,16
AUS,STL,104
AUS,TPA,164
AUS,TUL,39
AUS,TUS,66
AVL,ATL,608
AVL,CVG,33
AVL,DTW,154
AVL,EWR,265
AVL,IAH,56
AVL,MSP,67
AVP,ATL,328
AVP,BUF,1
AVP,CVG,158
AVP,DTW,191
AVP,HPN,0
AVP,JFK,7
AVP,LGA,2
AVP,ORD,178
AVP,PHL,1
AZO,ATL,83
AZO,CVG,71
AZO,DTW,299
AZO,MKE,1
AZO,MSP,39
AZO,ORD,813
BDL,ATL,551
BDL,BNA,87
BDL,BOS,1
BDL,BWI,932
BDL,CLE,206
BDL,CLT,654
BDL,CVG,216
BDL,DCA,276
BDL,DEN,69
BDL,DFW,371
BDL,DTW,458
BDL,EWR,544
BDL,FLL,194
BDL,GRR,0
BDL,IAD,296
BDL,IAH,58
BDL,IND,113
BDL,JFK,120
BDL,LAS,55
BDL,LAX,85
BDL,MCO,363
BDL,MDW,249
BDL,MIA,47
BDL,MKE,184
BDL,MSP,266
BDL,ORD,1309
BDL,PBI,66
BDL,PHL,286
BDL,PHX,67
BDL,RDU,273
BDL,RSW,56
BDL,SJU,79
BDL,TPA,275
BET,ANC,335
BFL,DEN,43
BFL,IAH,74
BFL,LAS,91
BFL,LAX,179
BFL,PHX,219
BFL,SAN,31
BFL,SFO,326
BFL,SLC,79
BFL,SMF,5
BGM,ATL,71
BGM,DTW,157
BGM,JFK,4
BGR,ATL,215
BGR,BOS,280
BGR,CVG,201
BGR,DTW,241
BGR,EWR,245
BGR,LGA,94
BGR,MSP,2
BHM,ATL,621
BHM,AUS,3
BHM,BNA,133
BHM,BWI,214
BHM,CLT,163
BHM,CVG,190
BHM,DAL,192
BHM,DEN,299
BHM,DFW,324
BHM,DTW,280
BHM,EWR,191
BHM,HOU,180
BHM,IAD,117
BHM,IAH,531
BHM,JAX,122
BHM,LAS,53
BHM,LGA,384
BHM,MCO,238
BHM,MDW,164
BHM,MEM,164
BHM,MSY,62
BHM,OKC,0
BHM,ORD,750
BHM,PHX,97
BHM,RDU,56
BHM,SDF,130
BHM,SLC,102
BHM,STL,13
BHM,TPA,212
BIL,DEN,430
BIL,IDA,0
BIL,MSP,137
BIL,ORD,31
BIL,PIH,0
BIL,SFO,5
BIL,SLC,419
BIS,DEN,320
BIS,MSP,512
BIS,SLC,0
BJI,MSP,35
BLI,SEA,0
BLI,SLC,90
BLI,TWF,0
BMI,ATL,399
BMI,LAS,9
BMI,MCO,50
BMI,ORD,620
BNA,ATL,664
BNA,AUS,281
BNA,BDL,129
BNA,BHM,234
BNA,BOS,140
BNA,BWI,687
BNA,CLE,500
BNA,CLT,405
BNA,CMH,209
BNA,CVG,246
BNA,DCA,223
BNA,DEN,696
BNA,DFW,661
BNA,DTW,825
BNA,EWR,622
BNA,FLL,178
BNA,HOU,438
BNA,IAD,406
BNA,IAH,710
BNA,ICT,0
BNA,JAX,501
BNA,JFK,577
BNA,LAS,249
BNA,LAX,302
BNA,LGA,418
BNA,MCI,387
BNA,MCO,398
BNA,MDW,807
BNA,MEM,186
BNA,MIA,156
BNA,MSP,251
BNA,MSY,232
BNA,OAK,87
BNA,ONT,102
BNA,ORD,1462
BNA,ORF,0
BNA,PHL,280
BNA,PHX,245
BNA,PVD,124
BNA,RDU,488
BNA,SAN,161
BNA,SAT,206
BNA,SEA,140
BNA,SLC,134
BNA,STL,26
BNA,TPA,412
BOI,ATL,17
BOI,CID,0
BOI,COS,0
BOI,DEN,475
BOI,FSD,0
BOI,GEG,187
BOI,GJT,0
BOI,LAS,142
BOI,LAX,255
BOI,MLI,0
BOI,MSP,151
BOI,OAK,115
BOI,ONT,90
BOI,ORD,250
BOI,PDX,178
BOI,PHX,158
BOI,RNO,160
BOI,SAN,104
BOI,SEA,320
BOI,SFO,649
BOI,SLC,748
BOI,TVC,0
BOI,TWF,0
BOS,ATL,1704
BOS,AUS,55
BOS,BGR,525
BOS,BNA,165
BOS,BUF,283
BOS,BWI,1755
BOS,CAK,161
BOS,CHS,129
BOS,CLE,307
BOS,CLT,1408
BOS,CMH,376
BOS,CVG,439
BOS,DAY,40
BOS,DCA,2694
BOS,DEN,735
BOS,DFW,938
BOS,DTW,758
BOS,EWR,1774
BOS,FLL,701
BOS,GSO,187
BOS,IAD,1405
BOS,IAH,670
BOS,IND,264
BOS,JAX,280
BOS,JFK,3278
BOS,LAS,704
BOS,LAX,964
BOS,LGA,3318
BOS,LGB,147
BOS,MCO,811
BOS,MDW,362
BOS,MEM,232
BOS,MIA,600
BOS,MSP,484
BOS,MSY,2
BOS,MYR,24
BOS,OAK,113
BOS,ORD,2314
BOS,ORF,209
BOS,PBI,371
BOS,PDX,36
BOS,PHF,269
BOS,PHL,2682
BOS,PHX,442
BOS,PIT,503
BOS,RDU,1135
BOS,RIC,146
BOS,ROC,2
BOS,RSW,402
BOS,SAN,190
BOS,SAV,110
BOS,SDF,39
BOS,SEA,440
BOS,SFO,942
BOS,SJC,84
BOS,SJU,284
BOS,SLC,204
BOS,SRQ,2
BOS,STL,252
BOS,STT,11
BOS,TPA,447
BOS,TTN,295
BPT,IAH,44
BQK,ATL,283
BQN,EWR,73
BQN,JFK,98
BQN,MCO,87
BRO,IAH,283
BRW,ANC,69
BRW,FAI,191
BRW,SCC,47
BTM,SLC,129
BTR,ATL,874
BTR,CVG,90
BTR,DCA,102
BTR,DFW,927
BTR,IAH,588
BTR,MEM,206
BTR,MSY,0
BTR,ORD,155
